Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	18	47.368421052631575	4.217660908053082E-4	ADGRF1, DUOXA2, DUOXA1, EGFL6, MMP9, FAM3B, CHI3L1, CHI3L2, C4BPA, FCRL5, FCAMR, CFP, CLEC4E, SERPINA3, LTF, VNN1, SLC4A4, PLA2G2D	37	4234	20063	2.305238162111096	0.07273144829917622	0.037052155254074126	0.5177906198826521
UP_KEYWORDS	Disulfide bond	16	42.10526315789473	4.909770095427635E-4	EGFL6, FAM3B, MMP9, MZB1, CHI3L1, CHI3L2, C4BPA, DEFB4A, FCRL5, FCAMR, CFP, CLEC4E, CXCL13, LTF, SLC4A4, PLA2G2D	38	3434	20581	2.5234956932225727	0.05351762407097649	0.006851784839822739	0.5551509843569002
UP_SEQ_FEATURE	disulfide bond	14	36.84210526315789	0.001093455981451448	EGFL6, FAM3B, MMP9, CHI3L1, CHI3L2, DEFB4A, C4BPA, FCRL5, FCAMR, CFP, CLEC4E, CXCL13, LTF, PLA2G2D	37	2917	20063	2.602470142408435	0.17785270507034234	0.06319353885901624	1.3373229562718358
INTERPRO	IPR018469:Dual oxidase maturation factor	2	5.263157894736842	0.003660732846486957	DUOXA2, DUOXA1	35	2	18559	530.2571428571429	0.3120780361360409	0.3120780361360409	4.003460397915171
GOTERM_BP_DIRECT	GO:0070488~neutrophil aggregation	2	5.263157894736842	0.003926697782668235	S100A8, S100A9	34	2	16792	493.88235294117646	0.631879366269232	0.18116191828296546	4.9948993457134545
GOTERM_BP_DIRECT	GO:2000609~regulation of thyroid hormone generation	2	5.263157894736842	0.003926697782668235	DUOXA2, DUOXA1	34	2	16792	493.88235294117646	0.631879366269232	0.18116191828296546	4.9948993457134545
GOTERM_BP_DIRECT	GO:0032602~chemokine production	2	5.263157894736842	0.005884435660752312	S100A8, S100A9	34	3	16792	329.2549019607843	0.776660347720522	0.22107739801134696	7.3982085278140435
GOTERM_MF_DIRECT	GO:0035662~Toll-like receptor 4 binding	2	5.263157894736842	0.006854551394313769	S100A8, S100A9	30	4	16881	281.34999999999997	0.3821259357401834	0.3821259357401834	6.870854370951163
GOTERM_BP_DIRECT	GO:0002793~positive regulation of peptide secretion	2	5.263157894736842	0.007838442071056325	S100A8, S100A9	34	4	16792	246.94117647058823	0.8645033459213363	0.24839476584086362	9.740859961398417
GOTERM_BP_DIRECT	GO:0032119~sequestering of zinc ion	2	5.263157894736842	0.007838442071056325	S100A8, S100A9	34	4	16792	246.94117647058823	0.8645033459213363	0.24839476584086362	9.740859961398417
GOTERM_MF_DIRECT	GO:0050544~arachidonic acid binding	2	5.263157894736842	0.008561087983110172	S100A8, S100A9	30	5	16881	225.07999999999998	0.4522060805687512	0.25986898495519806	8.513739193862257
GOTERM_BP_DIRECT	GO:0042743~hydrogen peroxide metabolic process	2	5.263157894736842	0.00978872390407781	DUOXA2, DUOXA1	34	5	16792	197.55294117647057	0.9177987606494667	0.26825494592685173	12.02438112292523
GOTERM_MF_DIRECT	GO:0004568~chitinase activity	2	5.263157894736842	0.01196567143462268	CHI3L1, CHI3L2	30	7	16881	160.77142857142857	0.569431367548	0.244883205968223	11.71335364487891
INTERPRO	IPR011583:Chitinase II	2	5.263157894736842	0.012755752021679143	CHI3L1, CHI3L2	35	7	18559	151.50204081632654	0.7300331551088863	0.48041666222720947	13.326537140515804
INTERPRO	IPR001223:Glycoside hydrolase, family 18, catalytic domain	2	5.263157894736842	0.012755752021679143	CHI3L1, CHI3L2	35	7	18559	151.50204081632654	0.7300331551088863	0.48041666222720947	13.326537140515804
UP_KEYWORDS	Chemotaxis	3	7.894736842105263	0.013153296968149177	S100A8, CXCL13, S100A9	38	97	20581	16.75067824199674	0.773031396382845	0.15191253770817637	13.937140605510212
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	12	31.57894736842105	0.013361660349713906	S100A8, FGR, CPNE5, FAM3B, SPRR1B, MMP9, S100A9, SERPINA3, CHI3L1, LTF, VNN1, SLC4A4	36	2811	18224	2.16103403296573	0.5291882334601181	0.22205462583105218	12.438382050179975
GOTERM_MF_DIRECT	GO:0008061~chitin binding	2	5.263157894736842	0.013663727350113515	CHI3L1, CHI3L2	30	8	16881	140.67499999999998	0.6182752442403852	0.21397278792096497	13.271086948990817
GOTERM_BP_DIRECT	GO:0006032~chitin catabolic process	2	5.263157894736842	0.013678141338053462	CHI3L1, CHI3L2	34	7	16792	141.109243697479	0.9697490424832111	0.32205691361555877	16.419951611469607
UP_KEYWORDS	Apoptosis	5	13.157894736842104	0.015227517587818125	S100A8, FAM3B, MZB1, S100A9, CHI3L1	38	536	20581	5.052287902592302	0.8206830633667948	0.157902978807273	15.96557275057271
GOTERM_BP_DIRECT	GO:0002467~germinal center formation	2	5.263157894736842	0.015617290658253109	KLHL6, CXCL13	34	8	16792	123.47058823529412	0.9816494076213111	0.3295521400877599	18.534867829662062
SMART	SM00636:Glyco_18	2	5.263157894736842	0.0165905787227487	CHI3L1, CHI3L2	25	7	10057	114.93714285714286	0.4431954681476854	0.4431954681476854	13.77290523889666
GOTERM_MF_DIRECT	GO:0050786~RAGE receptor binding	2	5.263157894736842	0.018741006035386247	S100A8, S100A9	30	11	16881	102.30909090909091	0.7340159906571875	0.23268956284853504	17.78183074812606
GOTERM_BP_DIRECT	GO:0002523~leukocyte migration involved in inflammatory response	2	5.263157894736842	0.021412583087913564	S100A8, S100A9	34	11	16792	89.79679144385027	0.9959045154847881	0.3933518963086281	24.564594749861147
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	5	13.157894736842104	0.024241163545476275	S100A8, FAM3B, MZB1, S100A9, CHI3L1	34	567	16792	4.355223570909845	0.9980366704405663	0.4051381732464149	27.355444236134453
GOTERM_BP_DIRECT	GO:0002526~acute inflammatory response	2	5.263157894736842	0.025257716572417	S100A8, VNN1	34	13	16792	75.98190045248869	0.9984933559333423	0.3933699812113396	28.334926863678668
GOTERM_BP_DIRECT	GO:0051092~positive regulation of NF-kappaB transcription factor activity	3	7.894736842105263	0.02801047449499618	S100A8, S100A9, LTF	34	133	16792	11.140203449800973	0.9992654141636519	0.4027641122818949	30.92642378452053
GOTERM_MF_DIRECT	GO:0008201~heparin binding	3	7.894736842105263	0.030660940773482293	CXCL13, LTF, PLA2G2D	30	160	16881	10.550625	0.8869423640927518	0.3046288795449037	27.55053481232116
GOTERM_BP_DIRECT	GO:0014002~astrocyte development	2	5.263157894736842	0.03099796032068224	S100A8, S100A9	34	16	16792	61.73529411764706	0.9996638976357818	0.41327926343520394	33.640814401364636
UP_SEQ_FEATURE	calcium-binding region:1; low affinity	2	5.263157894736842	0.03356241649642002	S100A8, S100A9	37	19	20063	57.078236130867715	0.9977812308180588	0.7829658717679439	34.30254049123286
GOTERM_CC_DIRECT	GO:0005856~cytoskeleton	4	10.526315789473683	0.03387713666474043	S100A8, FGR, SPAG4, S100A9	36	371	18224	5.457921533393231	0.8548516342793329	0.3827614567931312	28.84524882288375
GOTERM_BP_DIRECT	GO:0051493~regulation of cytoskeleton organization	2	5.263157894736842	0.036705418370490614	S100A8, S100A9	34	19	16792	51.98761609907121	0.9999250423720619	0.44769879638868637	38.554714530324915
UP_KEYWORDS	Lectin	3	7.894736842105263	0.0378007249127512	CLEC4E, CHI3L1, CHI3L2	38	171	20581	9.50184672206833	0.9866438022121333	0.3245277201516107	35.3905685427766
UP_SEQ_FEATURE	calcium-binding region:2; high affinity	2	5.263157894736842	0.03876063527741935	S100A8, S100A9	37	22	20063	49.2948402948403	0.9991550188000092	0.7571324961222753	38.52130591770795
GOTERM_MF_DIRECT	GO:0030246~carbohydrate binding	3	7.894736842105263	0.04435591327720708	CLEC4E, CHI3L1, CHI3L2	30	196	16881	8.612755102040817	0.9582427029397748	0.3647249947609671	37.47088725447745
INTERPRO	IPR001751:S100/Calbindin-D9k, conserved site	2	5.263157894736842	0.04483538291887607	S100A8, S100A9	35	25	18559	42.42057142857143	0.990710783835359	0.7897869421242278	40.013014372088115
GOTERM_BP_DIRECT	GO:0001816~cytokine production	2	5.263157894736842	0.04802270215427653	S100A8, S100A9	34	25	16792	39.510588235294115	0.9999962747596475	0.5206462433828722	47.32001354341209
GOTERM_BP_DIRECT	GO:0050715~positive regulation of cytokine secretion	2	5.263157894736842	0.04802270215427653	CLEC4E, FGR	34	25	16792	39.510588235294115	0.9999962747596475	0.5206462433828722	47.32001354341209
GOTERM_MF_DIRECT	GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds	2	5.263157894736842	0.050315966602304286	CHI3L1, CHI3L2	30	30	16881	37.513333333333335	0.9730511924495888	0.363472100118985	41.391147283832744
GOTERM_BP_DIRECT	GO:0042127~regulation of cell proliferation	3	7.894736842105263	0.05099986335709839	FGR, CXCL13, MZB1	34	185	16792	8.008903020667727	0.999998318744029	0.5222486972413356	49.425719656352726
GOTERM_BP_DIRECT	GO:0050832~defense response to fungus	2	5.263157894736842	0.05176639761148496	S100A8, S100A9	34	27	16792	36.5838779956427	0.9999986307060685	0.5086459248858222	49.95515327163551
INTERPRO	IPR013787:S100/CaBP-9k-type, calcium binding, subdomain	2	5.263157894736842	0.05182555392475211	S100A8, S100A9	35	29	18559	36.569458128078814	0.9956086186297467	0.7425752564406011	44.72632241734398
GOTERM_BP_DIRECT	GO:0030449~regulation of complement activation	2	5.263157894736842	0.05735518635652993	CFP, C4BPA	34	30	16792	32.92549019607843	0.9999996949205647	0.5276970625018003	53.6633175564434
GOTERM_BP_DIRECT	GO:2001244~positive regulation of intrinsic apoptotic signaling pathway	2	5.263157894736842	0.06291202783794554	S100A8, S100A9	34	33	16792	29.932263814616753	0.999999932046418	0.5443023606865596	57.0973104009283
SMART	SM01394:SM01394	2	5.263157894736842	0.06479456765385015	S100A8, S100A9	25	28	10057	28.734285714285715	0.9041160912433017	0.6903487304132303	44.753418502695375
INTERPRO	IPR013781:Glycoside hydrolase, catalytic domain	2	5.263157894736842	0.06565725154951245	CHI3L1, CHI3L2	35	37	18559	28.66254826254826	0.9990190782333438	0.7497772030092504	53.073521614294904
UP_KEYWORDS	Calcium	5	13.157894736842104	0.07123084508691613	S100A8, EGFL6, MMP9, S100A9, PLA2G2D	38	877	20581	3.087829322450939	0.9997455093805124	0.4982670209770923	56.7277453364501
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	13	34.21052631578947	0.07787895679725397	ADGRF1, S100A8, FGR, DUOXA1, S100A9, C4BPA, FCAMR, FCRL5, DOK3, CLEC4E, KCNN3, VNN1, SLC4A4	36	4121	18224	1.5969155275148965	0.9893309870136324	0.5967031325039327	55.09415879377866
GOTERM_BP_DIRECT	GO:0030968~endoplasmic reticulum unfolded protein response	2	5.263157894736842	0.08482344581531945	BHLHA15, DERL3	34	45	16792	21.95032679738562	0.9999999998331828	0.6406179309587461	68.47443308494141
GOTERM_BP_DIRECT	GO:0007267~cell-cell signaling	3	7.894736842105263	0.08862586723863973	BHLHA15, CXCL13, S100A9	34	254	16792	5.83325613710051	0.9999999999420623	0.6411513140000471	70.1383249700457
UP_KEYWORDS	S-nitrosylation	2	5.263157894736842	0.09270954380395001	S100A8, S100A9	38	54	20581	20.059454191033137	0.9999814821583677	0.5675175489680959	66.80890289376934
INTERPRO	IPR017853:Glycoside hydrolase, superfamily	2	5.263157894736842	0.09440243578707402	CHI3L1, CHI3L2	35	54	18559	19.63915343915344	0.9999595055911135	0.8146898629301287	66.86953679890806
